Date,Type,Product,Quantity,Price,PayMethod,ClientID
01/11/2022,Expense,Account,30.0,45.0,Revolut,9.450081247487796e+17
01/11/2022,Income,Account,4.0,11.0,Revolut,9.964422438230508e+17
04/11/2022,Income,Account,1.0,3.2,Revolut,3.409009630636933e+17
04/11/2022,Income,Account,4.0,11.0,Revolut,1.030939444506792e+18
04/11/2022,Income,Account,1.0,2.88,USDT,1.0363883933005332e+18
04/11/2022,Income,Account,3.0,8.64,USDT,1.0363883933005332e+18
04/11/2022,Income,Account,1.0,3.7,Revolut,1.0363883933005332e+18
06/11/2022,Expense,Zal+,5.0,1.0,Revolut,9.450081247487796e+17
07/11/2022,Income,Account,1.0,3.7,Revolut,7.994016036477993e+17
07/11/2022,Income,Account,3.0,10.0,USDT,9.03095247905624e+17
07/11/2022,Income,Account,4.0,12.0,USDT,9.03095247905624e+17
08/11/2022,Expense,Account,30.0,37.0,USDT,9.450081247487796e+17
09/11/2022,Income,Account,2.0,7.0,USDT,2.983868155540275e+17
14/11/2022,Expense,Account,30.0,30.0,USDT,9.450081247487796e+17
15/11/2022,Income,Account,1.0,2.8,Revolut,2.0824366368227328e+17
17/11/2022,Income,Account,10.0,25.0,Revolut,6.96340078628438e+17
20/11/2022,Income,Account,10.0,15.0,Revolut,2.0824366368227328e+17
23/11/2022,Income,Account,20.0,28.5,USDT,9.03095247905624e+17
25/11/2022,Income,Account,2.0,3.6,Revolut,8.975124056832737e+17
27/11/2022,Expense,Account,100.0,85.0,USDT,9.450081247487796e+17
27/11/2022,Income,Account,30.0,42.75,USDT,9.03095247905624e+17
28/11/2022,Income,Account,11.0,18.15,Revolut,9.011309016463484e+17
30/11/2022,Income,Account,10.0,15.0,Revolut,8.113815364101734e+17
01/12/2022,Income,Account,31.0,47.36,USDT,9.03095247905624e+17
01/12/2022,Income,Account,15.0,20.0,Revolut,9.011309016463484e+17
01/12/2022,Income,Account,11.0,15.4,Revolut,1.0439037401109832e+18
01/12/2022,Expense,Account,100.0,90.0,USDT,9.450081247487796e+17
01/12/2022,Income,Account,19.0,28.5,Revolut,1.0439037401109832e+18
03/12/2022,Income,Account,50.0,70.0,Revolut,3.7928809881665536e+17
03/12/2022,Expense,Transfer,1.0,151.0,Revolut,9.93884863327392e+17
03/12/2022,Income,Transfer,1.0,151.0,USDT,9.93884863327392e+17
04/12/2022,Income,Account,25.0,35.62,USDT,8.279590784493158e+17
04/12/2022,Income,Account,100.0,140.0,Revolut,6.941994302027858e+17
04/12/2022,Income,Account,20.0,30.0,Revolut,9.7174792287198e+17
04/12/2022,Income,Account,30.0,45.0,Revolut,3.80431345480106e+17
03/12/2022,Expense,Transfer,1.0,220.0,Revolut,9.93884863327392e+17
03/12/2022,Income,Transfer,1.0,220.0,USDT,9.93884863327392e+17
04/12/2022,Expense,Account,150.0,140.0,USDT,9.93884863327392e+17
04/12/2022,Expense,Account,150.0,120.0,USDT,9.93884863327392e+17
05/12/2022,Income,Account,75.0,105.0,Revolut,8.271803859169444e+17
05/12/2022,Income,Account,15.0,22.5,Revolut,9.413446405258116e+17
05/12/2022,Income,Account,5.0,8.5,Revolut,6.234913543783711e+17
05/12/2022,Income,Account,2.0,3.4,Revolut,3.989200416572704e+17
05/12/2022,Income,Account,20.0,30.0,Revolut,2.915747532805243e+17
05/12/2022,Income,Account,22.0,31.35,USDT,3.040214618055639e+17
05/12/2022,Expense,Account,200.0,180.0,USDT,9.450081247487796e+17
05/12/2022,Expense,Transfer,1.0,151.0,Revolut,9.93884863327392e+17
05/12/2022,Income,Transfer,1.0,151.0,USDT,9.93884863327392e+17
05/12/2022,Income,Account,100.0,140.0,Revolut,5.0222956895902106e+17
05/12/2022,Income,Account,6.0,10.2,Revolut,6.234913543783711e+17
06/12/2022,Income,Account,1.0,1.61,USDT,2.231670027247944e+17
06/12/2022,Income,Account,1.0,1.7,Revolut,2.1829695460448666e+17
06/12/2022,Income,Account,4.0,6.8,Revolut,2.1829695460448666e+17
06/12/2022,Income,Account,3.0,4.84,USDT,1.3682005294605926e+17
06/12/2022,Expense,Account,300.0,280.0,USDT,9.93884863327392e+17
06/12/2022,Income,Account,300.0,360.0,USDT,3.90875424143573e+17
06/12/2022,Income,Account,50.0,69.2,USDT,3.90552172418302e+17
